,president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,datenumber
1488,Donald Trump,All polls,10/26/2018,2/22/2018,2/26/2018,Morning Consult,B-,1992.0,rv,0.7524901999999999,0.0,46.0,50.0,42.96395,52.15502,,,https://www.politico.com/f/?id=00000161-d99e-da6b-ade9-ffbe99050002,50943,80582,2/28/2018,09:39:46 26 Oct 2018,736751.0
1489,Donald Trump,All polls,10/26/2018,2/22/2018,2/26/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.2425136,0.0,50.0,48.0,44.67122,48.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50937,80555,2/27/2018,09:39:46 26 Oct 2018,736751.0
1490,Donald Trump,All polls,10/26/2018,2/22/2018,2/26/2018,Ipsos,B+,1860.0,a,0.1772908,0.0,40.1,55.3,40.558,54.03159,,T,http://polling.reuters.com/#poll/CP3_2/,50938,80568,2/27/2018,09:39:46 26 Oct 2018,736751.0
1491,Donald Trump,All polls,10/26/2018,2/23/2018,2/27/2018,Ipsos,B+,1655.0,a,0.1554409,0.0,40.0,55.9,40.458,54.63159,,T,http://polling.reuters.com/#poll/CP3_2/,50981,80640,3/2/2018,09:39:46 26 Oct 2018,736752.0
1492,Donald Trump,All polls,10/26/2018,2/22/2018,2/28/2018,SurveyMonkey,D-,31777.0,a,0.35067740000000003,0.0,43.0,55.0,40.68448,53.73281,,,https://drive.google.com/file/d/11AEO5xFfinwNh8luBZemupqa1Jys2x4A/view,50977,80626,3/1/2018,09:39:46 26 Oct 2018,736753.0
1493,Donald Trump,All polls,10/26/2018,2/22/2018,3/1/2018,IBD/TIPP,A-,901.0,a,1.522292,0.0,37.0,58.0,39.089890000000004,56.35941999999999,,,https://www.investors.com/politics/trump-approval-edges-up-as-financial-stress-hits-new-low-ibdtipp-poll/,50985,80646,3/5/2018,09:39:46 26 Oct 2018,736754.0
1494,Donald Trump,All polls,10/26/2018,2/24/2018,2/28/2018,Ipsos,B+,1487.0,a,0.1373721,0.0,38.6,57.0,39.058,55.731590000000004,,T,http://polling.reuters.com/#poll/CP3_2/,50980,80639,3/2/2018,09:39:46 26 Oct 2018,736753.0
1495,Donald Trump,All polls,10/26/2018,2/25/2018,2/27/2018,YouGov,B,1500.0,a,0.9116957,0.0,40.0,51.0,40.98506,53.46565,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/h8n9gvrqyj/econTabReport.pdf,50942,80580,2/28/2018,09:39:46 26 Oct 2018,736752.0
1496,Donald Trump,All polls,10/26/2018,2/25/2018,2/27/2018,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.1346041,0.0,49.0,50.0,43.67122,50.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,50944,80585,2/28/2018,09:39:46 26 Oct 2018,736752.0
1497,Donald Trump,All polls,10/26/2018,2/25/2018,3/1/2018,Ipsos,B+,1488.0,a,0.1351405,0.0,38.2,57.0,38.658,55.731590000000004,,T,http://polling.reuters.com/#poll/CP3_2/,50979,80638,3/2/2018,09:39:46 26 Oct 2018,736754.0
